id,module,question,answer_option_1,answer_option_2
55743473-3c96-4f1e-b213-5d98aecafc1c,food_and_drink,"Hvad skal du have?","Jeg skal have en kop kaffe.","Jeg vil gerne have en kop kaffe."
3370da02-a693-442b-8d17-36afda1667b1,food_and_drink,"Hvad skal han have?","Han skal have to kopper kaffe.","Han vil gerne have to kopper kaffe."
a48e1735-191e-4237-a085-3180cac31748,food_and_drink,"Hvad skal hun have?","Hun skal have en kop te.","Hun vil gerne have en kop te."
16c77a43-940c-4f27-9abb-75edc327ba8b,food_and_drink,"Hvad skal I have?","Vi skal have to kopper te.","Vi vil gerne have to kopper te."
7e4aed87-2095-4fbc-891d-293a01bd6bf9,food_and_drink,"Hvad skal du have?","Jeg skal have et glas vin.","Jeg vil gerne have et glas vin."
d8a9ec36-261d-4318-8fb9-fe7b494970b5,food_and_drink,"Hvad skal I have?","Vi skal have to glas vin.","Vi vil gerne have to glas vin."
58d87bca-676a-4d65-8ec6-4f8c33e19575,food_and_drink,"Hvad skal hun have?","Hun skal have en øl.","Hun vil gerne have en øl."
4b4fba20-0aa3-451d-ae9d-0d9414014567,food_and_drink,"Hvad skal I have?","Vi skal have to øl.","Vi vil gerne have to øl."
84e0d7ab-6006-4ec8-9be2-fa911ff0a156,food_and_drink,"Hvad skal du have?","Jeg skal have en bolle med marmelade.","Jeg vil gerne have en bolle med marmelade."
33445c50-b432-4489-b524-11a1da05b72b,food_and_drink,"Hvad skal I have?","Vi skal have to boller med marmelade.","Vi vil gerne have to boller med marmelade."
adab1d60-0745-41fd-989e-d31f58464e0c,food_and_drink,"Hvad skal han have?","Han skal have en sandwich.","Han vil gerne have en sandwich."
0bfcf455-743e-429a-908a-7276d3f31176,food_and_drink,"Hvad skal de have?","De skal have to sandwich(er).","De vil gerne have to sandwich(er)."
5e8e29fb-413d-4401-b710-dd6381edcf6d,food_and_drink,"Hvad skal hun have?","Hun skal have en burger.","Hun vil gerne have en burger."
ca2d2eed-caf0-4d44-af9c-d9e1199060a2,food_and_drink,"Hvad skal I have?","Vi skal have to burgere.","Vi vil gerne have to burgere."
be786788-974f-4690-a32f-0ba1a9c2df10,food_and_drink,"Hvad skal du have?","Jeg skal have en gang salat.","Jeg vil gerne have en gang salat."
253340f2-5a64-44dd-ad41-e79b2a1456ad,food_and_drink,"Hvad skal de have?","De skal have to gange salat.","De vil gerne have to gange salat."
5656ddf4-8949-42f7-8bf4-2c2ac0535b80,food_and_drink,"Hvad skal I have?","Vi skal have en fadøl.","Vi vil gerne have en fadøl."
d5f718fe-67f1-4c74-8022-6de2338c2efc,food_and_drink,"Hvad skal han have?","Han skal have to fadøl.","Han vil gerne have to fadøl."
29df6c33-7c48-430a-b1fa-3af64572e513,food_and_drink,"Hvad skal han have?","Han skal have en croissant.","Han vil gerne have en croissant."
58049edd-4137-4f5e-9875-478ad98960d7,food_and_drink,"Hvad skal de have?","De skal have to croissanter.","De vil gerne have to croissanter."
63fd7ed0-11a1-4e8a-8da2-7c8dea621bd8,food_and_drink,"Hvad skal hun have?","Hun skal have et glas vand.","Hun vil gerne have et glas vand."
b19ab023-4f9f-4721-b468-ee8b47ddf331,food_and_drink,"Hvad skal du have?","Jeg skal have to glas vand.","Jeg vil gerne have to glas vand."
fb7b5847-9454-4b62-8015-46ba918886ef,food_and_drink,"Hvad skal han have?","Han skal have en sodavand.","Han vil gerne have en sodavand."
9bc3767e-18d4-42a2-8737-902479ce8045,food_and_drink,"Hvad skal I have?","Vi skal have to sodavand.","Vi vil gerne have to sodavand."
02ab42a4-46b2-41a4-a240-4c055bd197e7,food_and_drink,"Hvad skal du have?","Jeg skal have et stykke kage.","Jeg vil gerne have et stykke kage."
b2c06741-9886-45de-a391-58508426aee3,food_and_drink,"Hvad skal hun have?","Hun skal have to stykker kage.","Hun vil gerne have to stykker kage."
5aea5752-4c87-4be4-8efb-71e798edf309,food_and_drink,"Hvad skal de have?","De skal have et stykke æbletærte.","De vil gerne have et stykke æbletærte."
79069c74-614e-4393-afb6-bcac004f05a8,food_and_drink,"Hvad skal I have?","Vi skal have to stykker æbletærte.","Vi vil gerne have to stykker æbletærte."
6c472ba8-23d2-4e1f-9d12-78f5f09f4e23,food_and_drink,"Hvad skal hun have?","Hun skal have en cookie.","Hun vil gerne have en cookie."
413f1350-6ce3-4593-bf18-8ef510436c10,food_and_drink,"Hvad skal han have?","Han skal have to cookier.","Han vil gerne have to cookier."
7fcb7a2e-f3f8-4600-8266-bb004fdce364,food_and_drink,"Hvad skal du have?","Jeg skal have en gang peanuts.","Jeg vil gerne have en gang peanuts."
223a653e-d12b-4344-9002-071e34c2df59,food_and_drink,"Hvad skal de have?","De skal have to gange peanuts.","De vil gerne have to gange peanuts."
03f4a3d8-83f4-46f0-b2cc-682241e5a972,food_and_drink,"Hvad skal han have?","Han skal have en gang suppe.","Han vil gerne have en gang suppe."
726ca269-985a-4ee0-a946-1d675964a5a7,food_and_drink,"Hvad skal I have?","Vi skal have to gange suppe.","Vi vil gerne have to gange suppe."
a1f29433-1b70-4b68-92f1-6f137626a2e3,food_and_drink,"Hvad skal de have?","De skal have en pizza.","De vil gerne have en pizza."
9f94d529-ff7d-4ff0-94b2-af753bf82107,food_and_drink,"Hvad skal du have?","Jeg skal have to pizzaer.","Jeg vil gerne have to pizzaer."
56b5a451-bd58-4c1a-b51e-dc5ea4d40766,food_and_drink,"Hvad skal du have?","Jeg skal have et stykke pizza.","Jeg vil gerne have et stykke pizza."
5c1018a6-96a3-45eb-9dd8-f3698c250b68,food_and_drink,"Hvad skal I have?","Vi skal have to stykker pizza.","Vi vil gerne have to stykker pizza."
9ab2994d-efd0-4f86-a408-92a5dc3921a2,food_and_drink,"Hvad skal han have?","Han skal have en pølse med brød.","Han vil gerne have en pølse med brød."
d4c9a564-eb38-4212-b756-4b6b30fa17bd,food_and_drink,"Hvad skal I have?","Vi skal have to pølser med brød.","Vi vil gerne have to pølser med brød."
c205420e-944f-4370-a610-5c6aaf07a85f,food_and_drink,"Hvad skal hun have?","Hun skal have en hotdog.","Hun vil gerne have en hotdog."
cef24326-ef2e-4968-969e-368a93a270c7,food_and_drink,"Hvad skal du have?","Jeg skal have to hotdogs.","Jeg vil gerne have to hotdogs."
209bbfd1-f643-4523-bde4-38ec2a547815,telling_time,"Hvad er klokken?","Den er fem.",""
5aca099b-87f8-48fb-8414-5b277c124e71,telling_time,"Hvad er klokken?","Den er et minut over et.","Den er lidt over et."
4013a689-8417-4cdd-8b10-5752303b28db,telling_time,"Hvad er klokken?","Den er ti minutter over et.",""
807c587b-0f02-48c2-a43d-03e09fa77c1b,telling_time,"Hvad er klokken?","Den er kvart over et.",""
c097e1a4-a1ff-4c10-b4df-a20c8c7c39bc,telling_time,"Hvad er klokken?","Den er fem minutter i halv ti.",""
b5308fab-8598-4cf6-9f14-77c9c8054ef9,telling_time,"Hvad er klokken?","Den er otte minutter i halv tre.",""
12ba5823-f11f-491f-a63f-4e354a335a73,telling_time,"Hvad er klokken?","Den er fem minutter over seks.",""
781afcb1-fe0f-476c-ba0c-c8a6a00aaf1a,telling_time,"Hvad er klokken?","Den er fem minutter over halv otte.",""
8dc70f69-a214-4140-b29b-1802e668b5c8,telling_time,"Hvad er klokken?","Den er et minut i to.","Den er lidt i to."
a9af735c-232a-491e-924a-fa12d0c393e7,jobs_and_studies,"Hvor arbejder han henne?(tegnestue)","Han arbejder på en tegnestue.",""
f0bbafd0-9362-4247-ac2f-33bc93dc324d,jobs_and_studies,"Hvor længe har han arbejdet der?(2010)","Han har arbejdet der siden 2010.",""
c6fe20ba-cb51-4a25-8b9f-b0dc85bc3a3a,jobs_and_studies,"Hvad laver han?","Han er designer.",""
bfc313c7-fb98-4502-84fe-8319ee1cc03c,jobs_and_studies,"Hvor arbejder han henne?(designfirma)","Han arbejder i et designfirma.",""
ed117313-0f5d-4277-9549-52938d2540ee,jobs_and_studies,"Hvor længe har han arbejdet der?(2½ å.)","Han har arbejdet der i to et halvt år.",""
72db4f6f-2994-4dee-bd70-faf9e68bcd68,jobs_and_studies,"Er han glad for sit arbejde?","Nej, ikke rigtigt.","Nej, det er han ikke."
1cc84b18-6372-4c53-88e9-13e292262e76,jobs_and_studies,"Hvad laver hun?","Hun er butiksassistent.",""
dec54cdb-815b-4a87-867b-26f201237456,jobs_and_studies,"Hvor arbejder hun henne?(skobutik)","Hun arbejder i en skobutik.",""
a9a820ed-5f44-445f-8c2f-09df3d0f6897,jobs_and_studies,"Hvor længe har hun arbejdet der?(4 md.)","Hun har arbejdet der i fire måneder.",""
3556beef-2980-400e-b832-f2fc14f9590f,jobs_and_studies,"Er hun glad for sit arbejde?","Ja, meget!","Ja, det er hun."
fc9825dd-e9ce-4520-9674-b3ddbc4213c1,jobs_and_studies,"Hvad laver han?","Han er forsker.",""
73ad6166-e356-4b8e-8fae-8f7fe4acc274,jobs_and_studies,"Hvor arbejder han henne?(Københavns Universitet)","Han arbejder på Københavns Universitet.",""
2757d470-5a5f-4c36-b687-ae95a5cd6967,jobs_and_studies,"Hvor længe har han arbejdet der?(13 mdr.)","Han har arbejdet der i tretten måneder.",""
cfaa610b-8429-4035-8635-382bbf0bd3c9,jobs_and_studies,"Hvad laver han?","Han er frisør.",""
aac3b3a7-7643-4801-87b0-dee01e4d2742,jobs_and_studies,"Hvor arbejder han henne?(frisørsalon)","Han arbejder i en frisørsalon.",""
27e3d95c-0c84-43de-99ae-f1da54fa095c,jobs_and_studies,"Hvor længe har han arbejdet der?(1½ å.)","Han har arbejdet der i halvandet år.",""
df59f5ba-4518-4767-9174-ddb28276a889,jobs_and_studies,"Er han glad for sit arbejde?","Nej, ikke rigtigt.","Nej, det er han ikke."
87648572-1267-47b9-b85c-be829cf433b8,jobs_and_studies,"Hvad laver han?","Han er kok.",""
0f9d4499-2953-4e45-9777-0c41b7e0b229,jobs_and_studies,"Hvor arbejder han henne?(restaurant)","Han arbejder på en restaurant.",""
f45210c6-e6c9-43a3-abfe-5c4d05bd6930,jobs_and_studies,"Hvor længe har han arbejdet der?(½ å.)","Han har arbejdet der i et halvt år.",""
3f914e89-41cd-4bca-9943-c78d6a40ec66,jobs_and_studies,"Er han glad for sit arbejde?","Ja, det er han.",""
3bc9aad8-fd33-4631-bd52-cf2192dc19b2,jobs_and_studies,"Hvad laver han?","Han er journalist.",""
0554d3ae-7765-44ca-808e-077955065394,jobs_and_studies,"Hvor arbejder han henne?(avis)","Han arbejder på en avis.",""
054daa90-2cfb-42c2-aefa-6857ad9602c8,jobs_and_studies,"Hvor længe har han arbejdet der?(4 ug.)","Han har arbejdet der i fire uger.",""
63b5da33-105a-490c-abf2-0dd58945c124,jobs_and_studies,"Hvad laver hun?","Hun er pædagog.",""
476a6167-4e7b-48e9-9982-ed7c4b84dea7,jobs_and_studies,"Hvor arbejder hun henne?(børnehave)","Hun arbejder i en børnehave.",""
2b245c11-d6d4-4ee0-a61c-749df2488df9,jobs_and_studies,"Hvor længe har hun arbejdet der?(5½ md.)","Hun har arbejdet der i fem en halv måned.",""
de3be272-4b1b-46ee-b20b-5f185c1583b5,jobs_and_studies,"Er hun glad for sit arbejde?","Ja, det er hun.",""
9a472b2a-51cd-43f7-a9d4-efa52a0395e0,jobs_and_studies,"Hvad laver han?","Han er lærer.",""
a8caf715-efa5-4ece-b79a-03e0a091e251,jobs_and_studies,"Hvor arbejder han henne?(skole)","Han arbejder på en skole.",""
62ae4bc9-2d5f-40bf-8640-91e9e67459a0,jobs_and_studies,"Hvor længe har han arbejdet der?(20 å.)","Han har arbejdet der i 20 år.",""
2945bf4b-d661-40e0-82a3-e5dcc4e0b978,jobs_and_studies,"Hvad laver hun?","Hun er sygeplejerske.",""
28834ff4-3ffc-4a95-bdaa-a08ef1dc7131,jobs_and_studies,"Hvor arbejder hun henne?(hospital)","Hun arbejder på et hospital.",""
ac41d3b1-220d-46a4-9dda-ec9ad9ab42ec,jobs_and_studies,"Hvor længe har hun arbejdet der?(1999)","Hun har arbejdet der siden 1999.",""
78bf4609-c118-43db-8c56-3798dd47b570,jobs_and_studies,"Er hun glad for sit arbejde?","Ja, det er hun.",""
dda68bed-7f4c-417e-90cd-5541e60210c4,jobs_and_studies,"Hvad laver han?","Han er tjener.",""
5e5bd4ba-1d93-4396-9fd9-6adc2c305b70,jobs_and_studies,"Hvor arbejder han henne?(restaurant)","Han arbejder på en restaurant.",""
fbdbd5f1-7b9b-413a-a625-2c9b7973fec0,jobs_and_studies,"Hvor længe har han arbejdet der?(25/1)","Han har arbejdet der siden den femogtyvende januar.",""
23901fa5-71e6-492c-aef7-6c5173b97817,jobs_and_studies,"Er han glad for sit arbejde?","Ja, meget!","Ja, det er han."
a8f0755d-081a-47b4-b338-a63d046df288,jobs_and_studies,"Hvad laver hun?","Hun er tandlæge.",""
ae6140fa-4678-4533-97c4-9bebc4f25a61,jobs_and_studies,"Hvor arbejder hun henne?(tandlægeklinik)","Hun arbejder på en tandlægeklinik.",""
ddda6b9d-36f4-4106-8b7a-7fcd43178908,jobs_and_studies,"Hvor længe har hun arbejdet der?(1½ md.)","Hun har arbejdet der i halvanden måned.",""
d61bb67f-bf94-4a65-85ec-16b2644da00e,jobs_and_studies,"Hvad laver han?","Han er ingeniør.",""
604ce14d-c600-4296-8c5a-edc987ea015e,jobs_and_studies,"Hvor arbejder han henne?(i firma)","Han arbejder i et firma.",""
c76b88b6-4564-4984-accd-56f5d3af29ef,jobs_and_studies,"Hvor længe har han arbejdet der?(9½ md.)","Han har arbejdet der i ni en halv måned.",""
16e80f3a-1327-43f4-8665-f4e46bec727b,jobs_and_studies,"Er han glad for sit arbejde?","Ja, det er han.",""
c22e00db-297e-482a-9d21-b830c4a6d5c1,jobs_and_studies,"Hvad laver han?","Han er fotograf.",""
3b083c6f-cc1b-413e-a6cb-0eef0f5327f5,jobs_and_studies,"Hvor arbejder han henne?(avis)","Han arbejder på en avis.",""
ad5df5e5-552d-49e7-a964-b21fe280a53f,jobs_and_studies,"Hvor længe har han arbejdet der?(3 ug.)","Han har arbejdet der i tre uger.",""
4b3a7a69-9df8-4cdd-abf2-f948a8075494,jobs_and_studies,"Hvad laver han?","Han er læge.",""
9aca9c4b-5a48-4e8b-90fd-be392fad6b9f,jobs_and_studies,"Hvor arbejder han henne?(Rigshospital)","Han arbejder på Rigshospitalet.",""
dffad4e5-32f9-474b-9a61-f5578e140543,jobs_and_studies,"Hvor længe har han arbejdet der?(1 md.)","Han har arbejdet der i en måned.",""
bf01add1-da8b-4291-b3e3-ab375991fb5d,jobs_and_studies,"Er han glad for sit arbejde?","Ja, det er han.",""
5926efb1-8239-45f3-9cdb-3a0992087e7a,jobs_and_studies,"Hvad laver han?","Han er økonom.",""
458575d2-b52b-4e99-b50c-008bf226a22d,jobs_and_studies,"Hvor arbejder han henne?(bank)","Han arbejder i en bank.",""
32a6c4d0-c527-42df-b479-f776cf7fadaf,jobs_and_studies,"Hvor længe har han arbejdet der?(1 å.)","Han har arbejdet der i et år.",""
ecfbd300-ecf6-4025-a380-85be17cb82d5,jobs_and_studies,"Hvad laver hun?","Hun er sekretær.",""
5dcdb214-9f87-46b3-b6f0-71aceac93472,jobs_and_studies,"Hvor arbejder hun henne?(firma)","Hun arbejder i et firma.",""
d155360b-d7b9-4014-b11a-24a23fa21b6e,jobs_and_studies,"Hvor længe har hun arbejdet der?(august 2015)","Hun har arbejdet der siden august 2015.",""
d03edae6-1de3-49c3-b1cf-02db8f5660e3,jobs_and_studies,"Er hun glad for sit arbejde?","Ja, det er hun.",""
2777f989-8635-44ea-8909-c617dbf94bb2,furniture,"Hvad skal han have?","Han skal have to skabe.",""
43b41fd1-6b79-4dae-9429-7492699ca139,furniture,"Hvad skal hun have?","Hun skal have en (spisebords)stol.",""
384c9a69-cffa-4f18-8e97-42d44767d9b6,furniture,"Hvad skal I have?","Vi skal have to (spisebords)stole.",""
daa16a6d-fc99-4ebd-ac85-9d1923155139,furniture,"Hvad skal du have?","Jeg skal have en lænestol.",""
a093960e-57d1-4160-a489-57f642da2900,furniture,"Hvad skal I have?","Vi skal have to lænestole.",""
45f8e7c7-d656-4efb-ae1f-019eb4550795,furniture,"Hvad skal hun have?","Hun skal have en lampe.",""
57e29501-befa-4df9-a9ef-152384da486b,furniture,"Hvad skal I have?","Vi skal have to lamper.",""
4a1fb174-2224-458d-82b8-578e1bd1d74b,furniture,"Hvad skal du have?","Jeg skal have et (gulv)tæppe.",""
10bdf10d-e6f2-4e67-91d0-6b04c8bc65ec,furniture,"Hvad skal I have?","Vi skal have to (gulv)tæpper.",""
a87723d6-5308-4e9a-b4e7-6770736472fe,furniture,"Hvad skal han have?","Han skal have en seng.",""
61b6d645-6973-4e45-9e27-8fe821c6a8c9,furniture,"Hvad skal de have?","De skal have to senge.",""
bf81de4e-e326-44ec-813c-510c1a681f45,furniture,"Hvad skal du have?","Jeg skal have en sofa.",""
c92181e3-4ea1-49f6-8510-d060a5d1f1fc,furniture,"Hvad skal de have?","De skal have to sofaer.",""
ce762fa1-62b6-4f83-babf-f2a072e00aaa,furniture,"Hvad skal hun have?","Hun skal have et sofabord.",""
0bfa8861-c29c-443a-8acb-15eaa98ef685,furniture,"Hvad skal I have?","Vi skal have to sofaborde.",""
ee96e706-c70c-4ece-abd4-f6b8ae8f9aa1,furniture,"Hvad skal I have?","Vi skal have et spisebord.",""
cd98daf3-24d3-41aa-a187-6c7f1daa199a,furniture,"Hvad skal han have?","Han skal have to spiseborde.",""
a93d6d6a-e861-4992-a516-b2f06b71f444,furniture,"Hvad skal han have?","Han skal have et arbejdsbord.",""
f7f28f1e-55ba-4d86-8c12-a735a81a6394,furniture,"Hvad skal de have?","De skal have to arbejdsborde.",""
0e59391a-47e6-4b5f-a0aa-bcd84f849280,furniture,"Hvad skal hun have?","Hun skal have en kommode.",""
d92002d1-b2d6-46ec-b53a-02233e80ecfa,furniture,"Hvad skal du have?","Jeg skal have to kommoder.",""
6afd1ddf-4b3e-4d17-99eb-dc2b7b33cd30,furniture,"Hvad skal han have?","Han skal have et gardin.",""
51204664-c720-4860-85f2-e59499635995,furniture,"Hvad skal I have?","Vi skal have to gardiner.",""
75ab39f8-4790-4cd7-a120-cc16709547d0,furniture,"Hvad skal du have?","Jeg skal have et tv-bord.",""
efd3e4ec-963f-4e92-a65a-354989628145,furniture,"Hvad skal hun have?","Hun skal have to tv-borde.",""
b0ce5558-b469-4ab7-a219-45056e3f91b9,furniture,"Hvad skal de have?","De skal have en reol.",""
ac38c3df-5617-4680-b55b-4ac573140f5b,furniture,"Hvad skal I have?","Vi skal have to reoler.",""
33da80cf-859c-457b-9068-a21fd5851c7e,furniture,"Hvad skal hun have?","Hun skal have en hylde.",""
790924b7-992a-4acf-aec4-bb6207523b2e,furniture,"Hvad skal han have?","Han skal have to hylder.",""
8eef8a1f-be6a-4c95-acfe-3e82a0483f56,furniture,"Hvad skal du have?","Jeg skal have en kontorstol.",""
7c121e5c-a167-4a18-a60c-2eab6ca7193f,furniture,"Hvad skal de have?","De skal have to kontorstole.",""
442e6bac-2f71-4ae4-b3c6-aac411b0713e,furniture,"Hvad skal han have?","Han skal have en arbejdslampe.",""
e04a6a5b-a5ad-41ad-bf0e-a2f637f40d62,furniture,"Hvad skal I have?","Vi skal have to arbejdslamper.",""
e27856e4-fae7-4d33-bf63-37f87976fca8,activities,"Hvad lavede han i går?","Han hørte musik.",""
e7c890f9-8b37-4327-86de-dfdfe34baab3,activities,"Hvad laver han?","Han laver mad.",""
8f1f3489-7891-42d8-81b5-116d263dc93f,activities,"Hvad lavede han i weekenden?","Han lavede mad.",""
9ede8862-ae86-480e-aeca-fd1bb6393a59,activities,"Hvad laver han?","Han læser avis.",""
f973247b-bde4-494d-a469-f0421d96085e,activities,"Hvad lavede han i søndags?","Han læste avis.",""
0718f03f-fcf3-4237-9da9-898dfe5f4c1f,activities,"Hvad laver hun?","Hun ser fjernsyn.",""
4d5f171b-e999-4d48-98b5-42064b10e45a,activities,"Hvad lavede hun i mandags?","Hun så fjernsyn.",""
25cc4507-a3e8-4153-99ef-93ccdda2ee53,activities,"Hvad laver de?","De besøger en af deres venner.",""
932a602b-f46d-431f-83e5-33157c88e499,activities,"Hvad lavede de i fredags?","De besøgte en af deres venner.",""
0602f49a-0661-42bf-be2e-46359b80590a,activities,"Hvad laver de?","De er i byen.","De er på bar."
f3d04631-a6b7-4424-b460-18d966cbb9a3,activities,"Hvad lavede de i torsdags?","De var i byen.","De var på bar."
59536229-aa20-4a04-a3ee-ed9fbd3a220f,activities,"Hvad laver han?","Han går en tur.",""
ce4a629e-e951-4d3d-bcf0-d7a93ce39ac0,activities,"Hvad lavede han i forgårs?","Han gik en tur.",""
d1691348-82e5-4c8e-a217-8ab3023f9aa6,activities,"Hvad laver han?","Han er sammen med sin kæreste/kone.",""
cf7f910e-fdbf-4fc9-be41-d3d4155bf9e2,activities,"Hvad laver hun?","Hun er sammen med sin kæreste/mand.",""
734a795b-1aeb-4079-9390-2892edd99a0d,activities,"Hvad laver hun?","Hun er sammen med sine venner.",""
60a6e995-1ea3-4ad0-8ba4-174940cfd5c0,activities,"Hvad laver drengen?","Han er sammen med sin familie.",""
67a63d83-020f-42a7-a770-ba0ac791f6c2,activities,"Hvad lavede pigen i går?","Hun var sammen med sin familie.",""
7bf738f5-53cb-4495-b594-182c0c13d98d,activities,"Hvad laver de i dag?","De er sammen med deres familie.","De hygger sig."
4f64daaa-2623-4cee-88b4-edf9c4b4eddc,activities,"Hvad lavede de i søndags?","De var sammen med deres familie.","De hyggede sig."
96e40933-4b09-40ae-9ab5-ee9bba397e53,activities,"Hvad laver hun?","Hun køber ind.",""
e972ad06-39fd-4fe1-8a80-856ce8e52e92,activities,"Hvad lavede hun i tirsdags?","Hun købte ind.",""
8a95b9cd-a62e-4de6-a1f6-89b38a8b90f4,activities,"Hvad laver hun?","Hun shopper.",""
09ee6874-bfc3-430f-8efd-c3f81fc0b42a,activities,"Hvad lavede hun i lørdags?","Hun shoppede.",""
56737296-1c19-4005-b975-7c1ef382412c,activities,"Hvad laver hun?","Hun skriver e-mails.",""
6f097995-b89c-4fdd-9fc9-937308da054d,activities,"Hvad lavede hun i går?","Hun skrev e-mails.",""
cc22ab3d-0a6f-47d1-b874-ca2db8614471,activities,"Hvad laver han?","Han læser (en bog).",""
5a13efd3-c3a2-4b7d-be9f-03d029e2857e,activities,"Hvad lavede han i forgårs?","Han læste (en bog).",""
70c8e991-b04e-43ff-8f3c-69d2c1539d05,activities,"Hvad laver han?","Han slapper af.",""
96304c95-a34e-48d4-bd4d-d4a96035a5b4,activities,"Hvad lavede han i weekenden?","Han slappede af.",""
b57f278b-bbea-4550-93ea-f42ac51c4ffa,activities,"Hvad laver han?","Han spiller backgammon.","Han spiller spil."
405be9a9-8941-482a-9f4c-d120b87f2f50,activities,"Hvad lavede han i onsdags?","Han spillede backgammon.","Han spillede spil."
1ad6d324-7cfc-4596-9a37-f18fc340a69a,activities,"Hvad laver de?","De spiller musik.",""
7a6ae2f4-6edf-4dd2-a21f-c7e5f19b2b58,activities,"Hvad lavede de i torsdags?","De spillede musik.",""
cb08a65e-eda4-476e-baa1-3e6b1aa36e7b,activities,"Hvad laver de?","De spiller computer.","De spiller PlayStation/Xbox/..."
