"danishPhrase","englishTranslation","situationalContext","languageLevel"
"Algoritmen analyserer brugernes adfærdsmønstre for at optimere brugeroplevelsen","The algorithm analyzes users' behavioral patterns to optimize the user experience","Specialized Terminology","B2"
"At falde i staver betyder at dagdrømme eller være fraværende i tankerne","To 'falde i staver' means to daydream or be absent in thought","Humor & Idioms","B1"
"Baseret på de empiriske data kan vi konkludere, at hypotesen er bekræftet","Based on the empirical data, we can conclude that the hypothesis is confirmed","Academic Discussions","B2"
"Biblioteket har mange gode bøger om emnet","The library has many good books on the subject","Education","A2"
"Biblioteket har åbent til klokken syv om aftenen","The library is open until seven in the evening","Local Community","A2"
"Billedet hænger på en kridhvid væg over en antik kommode","The picture hangs on a chalk-white wall above an antique dresser","Detailed Descriptions","B1"
"Butikken åbner klokken ti","The store opens at ten o'clock","Numbers/Time","A1"
"Børnene leger ofte i parken efter skole","The children often play in the park after school","Local Community","A2"
"Da jeg var barn, boede vi på landet","When I was a child, we lived in the countryside","Past Experiences","A2"
"De er tvillinger","They are twins","Family","A1"
"De sociale mediers algoritmer forstærker eksisterende holdninger og bidrager til polarisering","Social media algorithms amplify existing attitudes and contribute to polarization","Media & Digital Communication","B2"
"Debatten om indvandring afspejler grundlæggende værdimæssige forskelle i samfundet","The debate on immigration reflects fundamental value differences in society","Social Issues & Politics","B2"
"Dejligt at møde dig","Nice to meet you","Introductions","A1"
"Dejligt vejr i dag","Nice weather today","Small Talk","A1"
"Den er for lille","It's too small","Basic Shopping","A1"
"Den sidste bus kører klokken 23:30","The last bus runs at 11:30 PM","Transportation","A2"
"Der er en brand!","There's a fire!","Emergency","A1"
"Der er en god cykelsti langs floden","There is a good bike path along the river","Local Community","A2"
"Der er en god festival i vores lokalområde næste måned","There's a good festival in our local area next month","Local Community","A2"
"Der er en interessant dokumentar på tv i aften","There is an interesting documentary on TV tonight","Cultural Activities","A2"
"Der er en interessant festival næste weekend","There is an interesting festival next weekend","Cultural Activities","A2"
"Der er en park i nærheden","There is a park nearby","Simple Directions","A1"
"Der er et marked på torvet hver lørdag","There is a market in the square every Saturday","Local Community","A2"
"Der er et problem med opvarmningen","There is a problem with the heating","Home & Housing","A2"
"Der er intet varmt vand","There is no hot water","Accommodation","A1"
"Der er mange caféer i vores nabolag","There are many cafés in our neighborhood","Local Community","A2"
"Der er mange nye ansatte i vores afdeling","There are many new employees in our department","Work Environment","A2"
"Der er ofte forsinkelser på denne rute","There are often delays on this route","Transportation","A2"
"Der er sket en ulykke","There has been an accident","Emergency","A1"
"Det bliver regnvejr i morgen","It will be rainy tomorrow","Weather","A1"
"Det blæser for meget til at sidde udenfor","It's too windy to sit outside","Weather","A2"
"Det blæser meget","It's very windy","Weather","A1"
"Det blæser meget i dag","It's very windy today","Weather","A1"
"Det er bag ved skolen","It's behind the school","Simple Directions","A1"
"Det er beskidt","It's dirty","Basic Communication","A1"
"Det er billigt","It's cheap","Basic Shopping","A1"
"Det er cirka fem minutter herfra","It's about five minutes from here","Simple Directions","A1"
"Det er den femtende maj","It's the fifteenth of May","Numbers/Time","A1"
"Det er dårligt","It's bad","Basic Communication","A1"
"Det er en myte, at alle danskere er blonde og blåøjede","It's a myth that all Danes are blonde and blue-eyed","Cultural Insights & Customs","B2"
"Det er en overraskelse","It's a surprise","Celebrations","A1"
"Det er en smuk dag","It's a beautiful day","Weather","A1"
"Det er for dyrt","It's too expensive","Basic Shopping","A1"
"Det er for koldt","It's too cold","Weather","A1"
"Det er for varmt","It's too hot","Weather","A1"
"Det er foran hotellet","It's in front of the hotel","Simple Directions","A1"
"Det er forkert","That's wrong","Basic Communication","A1"
"Det er fuldt","It's full","Basic Communication","A1"
"Det er færdigt","It's finished","Basic Communication","A1"
"Det er gammelt","It's old","Basic Communication","A1"
"Det er godt","It's good","Basic Communication","A1"
"Det er grimt","It's ugly","Basic Communication","A1"
"Det er hurtigt","It's fast","Basic Communication","A1"
"Det er ikke færdigt","It's not finished","Basic Communication","A1"
"Det er ikke nødvendigt","It's not necessary","Basic Communication","A1"
"Det er ikke sandt","That's not true","Basic Communication","A1"
"Det er ikke til at stikke en knappenål imellem","You can't stick a pin between it (idiom: there's no difference/it's perfect)","Idiomatic Expressions","B2"
"Det er ikke vigtigt","It's not important","Basic Communication","A1"
"Det er interessant","It's interesting","Basic Communication","A1"
"Det er interessant, men jeg er ikke helt enig","It's interesting, but I don't completely agree","Personal Opinions","A2"
"Det er kedeligt","It's boring","Basic Communication","A1"
"Det er koldt","It's cold","Basic Communication","A1"
"Det er koldt i dag","It's cold today","Weather","A1"
"Det er langsomt","It's slow","Basic Communication","A1"
"Det er langt væk","It's far away","Simple Directions","A1"
"Det er let","It's light","Basic Communication","A1"
"Det er lige til højrebenet","It's right up your alley (idiom: it's perfect for you/straightforward)","Idiomatic Expressions","B2"
"Det er lille","It's small","Basic Communication","A1"
"Det er lukket","It's closed","Basic Communication","A1"
"Det er mandag i dag","It's Monday today","Numbers/Time","A1"
"Det er mellem posthuset og apoteket","It's between the post office and the pharmacy","Simple Directions","A1"
"Det er min første gang i Danmark","It's my first time in Denmark","Basic Communication","A1"
"Det er mit postnummer","That is my postal code","Basic Communication","A1"
"Det er muligt","It's possible","Basic Communication","A1"
"Det er nemt","It's easy","Basic Communication","A1"
"Det er nyt","It's new","Basic Communication","A1"
"Det er okay","That's okay","Basic Communication","A1"
"Det er overfor kirken","It's across from the church","Simple Directions","A1"
"Det er overskyet","It's cloudy","Weather","A1"
"Det er på højre side","It's on the right side","Simple Directions","A1"
"Det er på venstre side","It's on the left side","Simple Directions","A1"
"Det er regnvejr","It's rainy weather","Weather","A1"
"Det er rent","It's clean","Basic Communication","A1"
"Det er rigtigt","That's right","Basic Communication","A1"
"Det er sandt","That's true","Basic Communication","A1"
"Det er sent","It's late","Basic Communication","A1"
"Det er sjovt","It's fun","Basic Communication","A1"
"Det er smukt","It's beautiful","Basic Communication","A1"
"Det er solskin","It's sunny","Weather","A1"
"Det er stort","It's big","Basic Communication","A1"
"Det er svært","It's difficult","Basic Communication","A1"
"Det er svært at vedligeholde venskaber, når man bor langt fra hinanden","It's difficult to maintain friendships when you live far apart","Emotions & Relationships","B1"
"Det er tidligt","It's early","Basic Communication","A1"
"Det er tomt","It's empty","Basic Communication","A1"
"Det er tordenvejr","It's thunderstorm weather","Weather","A1"
"Det er tungt","It's heavy","Basic Communication","A1"
"Det er tåget","It's foggy","Weather","A1"
"Det er tæt på","It's close by","Simple Directions","A1"
"Det er umuligt","It's impossible","Basic Communication","A1"
"Det er varmt","It's hot","Basic Communication","A1"
"Det er varmt i dag","It's warm today","Weather","A1"
"Det er ved siden af banken","It's next to the bank","Simple Directions","A1"
"Det er vigtigt","It's important","Basic Communication","A1"
"Det er vigtigt at spise sundt og dyrke motion","It's important to eat healthy and exercise","Personal Opinions","A2"
"Det er åbent","It's open","Basic Communication","A1"
"Det forekommer mig, at argumentet bygger på fejlagtige præmisser","It seems to me that the argument is based on flawed premises","Sophisticated Opinions","B2"
"Det forstår jeg godt","I understand that well","Basic Communication","A1"
"Det forstår jeg ikke","I don't understand that","Basic Communication","A1"
"Det går op i en højere enhed","It all comes together (idiom: everything falls into place)","Humor & Idioms","B1"
"Det gør ikke noget","It doesn't matter","Courtesy Phrases","A1"
"Det gør mig glad at se dig smile","It makes me happy to see you smile","Emotions & Feelings","A2"
"Det hagler","It's hailing","Weather","A1"
"Det har været usædvanligt varmt for årstiden","It has been unusually warm for the season","Weather","A2"
"Det koster femogtyve kroner","It costs twenty-five kroner","Basic Shopping","A1"
"Det kræver tålmodighed at lære et nyt sprog","It takes patience to learn a new language","Educational Topics","B1"
"Det lyder spændende","That sounds exciting","Small Talk","A1"
"Det passer mig fint","It fits me well","Basic Shopping","A1"
"Det regner i dag","It's raining today","Weather","A1"
"Det ser ud til, at det bliver regnvejr i morgen","It looks like it's going to rain tomorrow","Weather","A2"
"Det smager godt","It tastes good","Restaurant/Café","A1"
"Det sner","It's snowing","Weather","A1"
"Det var en meget interessant oplevelse","It was a very interesting experience","Past Experiences","A2"
"Det var hyggeligt","It was cozy/nice","Courtesy Phrases","A1"
"Det var hyggeligt at møde dig","It was nice to meet you","Introductions","A1"
"Det var kedeligt","That was boring","Small Talk","A1"
"Det var virkelig lækkert","It was really delicious","Courtesy Phrases","A1"
"Det ved jeg ikke","I don't know that","Basic Communication","A1"
"Dette smager godt","This tastes good","Restaurant/Café","A1"
"Drej til højre","Turn right","Simple Directions","A1"
"Drej til venstre","Turn left","Simple Directions","A1"
"Drej ved lyskrydset","Turn at the traffic light","Simple Directions","A1"
"Drik noget vand","Drink some water","Basic Communication","A1"
"Drøm sødt","Sweet dreams","Courtesy Phrases","A1"
"Du kan købe billetter i automaten eller online","You can buy tickets at the machine or online","Transportation","A2"
"Du skal aflevere din selvangivelse inden den 1. juli","You must submit your tax return before July 1st","Bureaucracy & Administration","B1"
"Du skal udfylde disse formularer og aflevere dem på kommunekontoret","You need to fill out these forms and submit them at the municipal office","Bureaucracy & Administration","B1"
"Du skal underskrive dokumentet her","You need to sign the document here","Bureaucracy & Administration","A2"
"Efter dig","After you","Courtesy Phrases","A1"
"Efter jeg er færdig med min uddannelse, vil jeg gerne arbejde i udlandet","After I finish my education, I would like to work abroad","Future Plans & Aspirations","B1"
"Efter min mening er denne bog bedre end filmen","In my opinion, this book is better than the movie","Personal Opinions","A2"
"Efter min mening er offentlig transport vigtig","In my opinion, public transportation is important","Personal Opinions","A2"
"Efter tre års intensivt arbejde med projektet, kunne vi endelig præsentere resultaterne for offentligheden","After three years of intensive work on the project, we could finally present the results to the public","Extended Narratives","B2"
"Elleve, tolv, tretten","Eleven, twelve, thirteen","Numbers/Time","A1"
"Elleve, tolv, tretten, fjorten, femten","Eleven, twelve, thirteen, fourteen, fifteen","Numbers/Time","A1"
"En kande vand, tak","A pitcher of water, please","Restaurant/Café","A1"
"En kop kaffe, tak","A cup of coffee, please","Restaurant/Café","A1"
"En kop te, tak","A cup of tea, please","Restaurant/Café","A1"
"En øl, tak","A beer, please","Restaurant/Café","A1"
"En, to, tre, fire, fem","One, two, three, four, five","Numbers/Time","A1"
"Er banken lukket om søndagen?","Is the bank closed on Sundays?","Basic Shopping","A1"
"Er butikken åben nu?","Is the store open now?","Basic Shopping","A1"
"Er denne plads optaget?","Is this seat taken?","Transportation","A1"
"Er der Wi-Fi på værelset?","Is there Wi-Fi in the room?","Accommodation","A1"
"Er der en rundvisning på engelsk?","Is there a tour in English?","Cultural Activities","A1"
"Er der et apotek i nærheden?","Is there a pharmacy nearby?","Basic Health","A1"
"Er der et supermarked i nærheden?","Is there a supermarket nearby?","Basic Shopping","A1"
"Er der et toilet her?","Is there a toilet here?","Basic Needs","A1"
"Er der forsinkelser i dag?","Are there delays today?","Transportation","A1"
"Er der garanti på denne vare?","Is there a warranty on this item?","Shopping Specifics","A2"
"Er der kød i denne ret?","Is there meat in this dish?","Restaurant/Café","A1"
"Er der parkering her?","Is there parking here?","Basic Needs","A1"
"Er der plads til min kuffert?","Is there room for my suitcase?","Transportation","A1"
"Er der plads til to personer?","Is there room for two people?","Restaurant/Café","A1"
"Er der rabat?","Is there a discount?","Basic Shopping","A1"
"Er der salt og peber?","Is there salt and pepper?","Restaurant/Café","A1"
"Er der sukker?","Is there sugar?","Restaurant/Café","A1"
"Er der toilet her?","Is there a toilet here?","Basic Needs","A1"
"Er der udsalg nu?","Is there a sale now?","Basic Shopping","A1"
"Er der vegetariske retter?","Are there vegetarian dishes?","Restaurant/Café","A1"
"Er det den rigtige bus til lufthavnen?","Is this the right bus to the airport?","Transportation","A1"
"Er det langt herfra?","Is it far from here?","Simple Directions","A1"
"Er dette glutenfri?","Is this gluten-free?","Restaurant/Café","A1"
"Er dette typisk dansk?","Is this typically Danish?","Restaurant/Café","A1"
"Er dette økologisk?","Is this organic?","Basic Shopping","A1"
"Er du gift?","Are you married?","Family","A1"
"Er maden stærk?","Is the food spicy?","Restaurant/Café","A1"
"Er morgenmad inkluderet?","Is breakfast included?","Accommodation","A1"
"Et enkeltbillet, tak","A one-way ticket, please","Transportation","A1"
"Et, to, tre, fire, fem","One, two, three, four, five","Numbers/Time","A1"
"Farvel","Goodbye","Greetings","A1"
"Fem minutter i tre","Five minutes to three","Numbers/Time","A1"
"Filmen begynder klokken otte, så vi skal skynde os","The movie starts at eight, so we need to hurry","Cultural Activities","A2"
"Filmen var ikke så god, som jeg havde forventet","The movie wasn't as good as I had expected","Past Experiences","A2"
"Filmen varer to timer","The movie lasts two hours","Numbers/Time","A1"
"For en uge siden","A week ago","Numbers/Time","A1"
"For to dage siden","Two days ago","Numbers/Time","A1"
"Forfatterens brug af fremmedgørelse som litterært greb skaber en dyb refleksion over moderniteten","The author's use of alienation as a literary device creates a deep reflection on modernity","Literary Analysis","B2"
"Forfatterens brug af symbolik i romanen afspejler tidens sociale problemer","The author's use of symbolism in the novel reflects the social problems of the time","Literary Analysis","B2"
"Fortsæt til krydset","Continue to the intersection","Simple Directions","A1"
"Forår, sommer, efterår, vinter","Spring, summer, autumn, winter","Weather","A1"
"Føl dig hjemme","Feel at home","Courtesy Phrases","A1"
"Galleriet åbner en ny udstilling næste måned","The gallery is opening a new exhibition next month","Cultural Activities","A2"
"Gennem tre årtier har vi været vidne til en gradvis, men gennemgribende transformation af arbejdsmarkedet","Through three decades, we have witnessed a gradual but profound transformation of the labor market","Extended Narratives","B2"
"Glædelig jul og godt nytår!","Merry Christmas and Happy New Year!","Celebrations","A1"
"God aften, alle sammen","Good evening, everyone","Greetings","A1"
"God appetit","Enjoy your meal","Restaurant/Café","A1"
"God arbejdslyst","Enjoy your work","Courtesy Phrases","A1"
"God bedring","Get well soon","Courtesy Phrases","A1"
"God eftermiddag","Good afternoon","Greetings","A1"
"God jul","Merry Christmas","Celebrations","A1"
"God rejse","Have a good journey","Courtesy Phrases","A1"
"God weekend","Have a good weekend","Greetings","A1"
"Godaften","Good evening","Greetings","A1"
"Goddag","Good day","Greetings","A1"
"Goddag, mit navn er Peter","Hello, my name is Peter","Introductions","A1"
"Godmorgen, har du sovet godt?","Good morning, did you sleep well?","Greetings","A1"
"Godmorgen, sov du godt?","Good morning, did you sleep well?","Greetings","A1"
"Godt nytår","Happy New Year","Celebrations","A1"
"Grundtvig har haft enorm indflydelse på dansk uddannelsestradition og folkeoplysning","Grundtvig has had an enormous influence on Danish educational tradition and public enlightenment","Danish Cultural References","B2"
"Gruppearbejde er en vigtig del af undervisningen på danske skoler","Group work is an important part of teaching in Danish schools","Educational Topics","B1"
"Gå derhen","Go there","Basic Communication","A1"
"Gå lige ud","Go straight ahead","Simple Directions","A1"
"Gå til højre","Go to the right","Simple Directions","A1"
"Gå til venstre","Go to the left","Simple Directions","A1"
"Gå ud","Go out","Basic Communication","A1"
"Går denne vej til stationen?","Does this way lead to the station?","Transportation","A1"
"Går der en direkte bus?","Is there a direct bus?","Transportation","A1"
"Går du ofte i biografen?","Do you often go to the cinema?","Hobbies & Interests","A2"
"Halv to","Half past one","Numbers/Time","A1"
"Halvfems, hundrede, tusind","Ninety, hundred, thousand","Numbers/Time","A1"
"Han er allergisk over for jordnødder","He is allergic to peanuts","Health & Wellness","A2"
"Han gik med hurtige skridt gennem den snedækkede park","He walked with quick steps through the snow-covered park","Detailed Descriptions","B1"
"Han har en kort lunte","He has a short fuse (idiom: gets angry easily)","Idiomatic Expressions","B2"
"Han samler på gamle frimærker","He collects old stamps","Hobbies & Interests","A2"
"Han var vred, fordi toget var forsinket","He was angry because the train was delayed","Emotions & Feelings","A2"
"Har I brød?","Do you have bread?","Basic Shopping","A1"
"Har I dagens ret?","Do you have the dish of the day?","Restaurant/Café","A1"
"Har I denne jakke i størrelse medium?","Do you have this jacket in size medium?","Shopping Specifics","A2"
"Har I det i en anden farve?","Do you have it in another color?","Basic Shopping","A1"
"Har I dette i blå?","Do you have this in blue?","Basic Shopping","A1"
"Har I dette i størrelse medium?","Do you have this in size medium?","Basic Shopping","A1"
"Har I dette på lager?","Do you have this in stock?","Basic Shopping","A1"
"Har I en hjemmeside?","Do you have a website?","Technology Basics","A1"
"Har I en pose?","Do you have a bag?","Basic Shopping","A1"
"Har I et bord ved vinduet?","Do you have a table by the window?","Restaurant/Café","A1"
"Har I et ledigt værelse?","Do you have a vacant room?","Accommodation","A1"
"Har I frisk frugt?","Do you have fresh fruit?","Basic Shopping","A1"
"Har I rabarber på tilbud denne uge?","Do you have rhubarb on offer this week?","Shopping Specifics","A2"
"Har I økologiske grøntsager?","Do you have organic vegetables?","Shopping Specifics","A2"
"Har I øl fra Danmark?","Do you have beer from Denmark?","Restaurant/Café","A1"
"Har du Facebook?","Do you have Facebook?","Basic Communication","A1"
"Har du afleveret din opgave?","Have you submitted your assignment?","Education","A2"
"Har du børn?","Do you have children?","Family","A1"
"Har du checket ind med dit rejsekort?","Have you checked in with your travel card?","Transportation","A2"
"Har du en kam?","Do you have a comb?","Basic Needs","A1"
"Har du en lighter?","Do you have a lighter?","Basic Needs","A1"
"Har du et dansk mobilnummer?","Do you have a Danish mobile number?","Technology Basics","A2"
"Har du et kort over byen?","Do you have a map of the city?","Basic Needs","A1"
"Har du haft en god dag?","Have you had a good day?","Small Talk","A1"
"Har du hørt det nye album fra bandet?","Have you heard the new album from the band?","Cultural Activities","A2"
"Har du hørt om den nye lov, regeringen har foreslået?","Have you heard about the new law the government has proposed?","Current Events & News","B1"
"Har du hørt om den nye musikfestival?","Have you heard about the new music festival?","Current Events & News","B1"
"Har du kæledyr?","Do you have pets?","Family","A1"
"Har du lyst til at se en film i aften?","Would you like to watch a movie tonight?","Making Plans","A2"
"Har du læst den nye bog af den danske forfatter?","Have you read the new book by the Danish author?","Cultural Activities","A2"
"Har du nogle anbefalinger til hoteller?","Do you have any recommendations for hotels?","Travel Planning","A2"
"Har du pakket din kuffert endnu?","Have you packed your suitcase yet?","Travel Planning","A2"
"Har du set den nye film?","Have you seen the new movie?","Small Talk","A1"
"Har du søskende?","Do you have siblings?","Family","A1"
"Har du udfyldt alle felterne i formularen?","Have you filled in all the fields in the form?","Bureaucracy & Administration","A2"
"Hav en god aften","Have a good evening","Courtesy Phrases","A1"
"Hav en god dag","Have a good day","Courtesy Phrases","A1"
"Hav en god dag på arbejde","Have a good day at work","Greetings","A1"
"Hej, hvordan går det?","Hello, how are you?","Greetings","A1"
"Hej, hvordan har du det i dag?","Hi, how are you today?","Greetings","A1"
"Held og lykke","Good luck","Courtesy Phrases","A1"
"Hjælp!","Help!","Emergency","A1"
"Hold dig varm","Keep yourself warm","Courtesy Phrases","A1"
"Hun blev meget overrasket over nyheden","She was very surprised by the news","Emotions & Feelings","A2"
"Hun elsker at vandre i bjergene","She loves hiking in the mountains","Hobbies & Interests","A2"
"Hun har arbejdet for dette firma i over fem år","She has worked for this company for over five years","Past Experiences","A2"
"Hun har arbejdet som lærer i over tyve år","She has worked as a teacher for over twenty years","Past Experiences","A2"
"Hun har spillet fodbold, siden hun var lille","She has played football since she was little","Hobbies & Interests","A2"
"Hvad anbefaler du?","What do you recommend?","Restaurant/Café","A1"
"Hvad arbejder du med?","What do you work with?","Introductions","A1"
"Hvad betyder det?","What does that mean?","Basic Communication","A1"
"Hvad betyder succes for dig?","What does success mean to you?","Abstract Discussions","B1"
"Hvad bringer dig til Danmark?","What brings you to Denmark?","Introductions","A1"
"Hvad er Wi-Fi koden?","What is the Wi-Fi password?","Technology Basics","A1"
"Hvad er Wi-Fi-koden?","What is the Wi-Fi code?","Basic Communication","A1"
"Hvad er adressen?","What is the address?","Basic Communication","A1"
"Hvad er datoen i dag?","What is the date today?","Numbers/Time","A1"
"Hvad er den bedste måde at komme til lufthavnen?","What is the best way to get to the airport?","Travel Planning","A2"
"Hvad er der af seværdigheder i nærheden?","What attractions are there nearby?","Travel Planning","A2"
"Hvad er der i maden?","What's in the food?","Restaurant/Café","A1"
"Hvad er det?","What is that?","Basic Communication","A1"
"Hvad er din adresse?","What is your address?","Basic Communication","A1"
"Hvad er din holdning til det nye byggeprojekt?","What is your opinion on the new construction project?","Personal Opinions","A2"
"Hvad er din yndlingsfarve?","What is your favorite color?","Small Talk","A1"
"Hvad er dit navn?","What is your name?","Introductions","A1"
"Hvad er dit telefonnummer?","What is your phone number?","Phone Communication","A1"
"Hvad er dit yndlingsfag?","What is your favorite subject?","Education","A2"
"Hvad er klokken?","What time is it?","Numbers/Time","A1"
"Hvad er specialiteten her?","What's the specialty here?","Restaurant/Café","A1"
"Hvad er symptomerne?","What are the symptoms?","Basic Health","A1"
"Hvad er værd at se i denne by?","What is worth seeing in this city?","Travel Planning","A2"
"Hvad hedder denne på dansk?","What is this called in Danish?","Basic Shopping","A1"
"Hvad hedder det på dansk?","What is it called in Danish?","Basic Communication","A1"
"Hvad hedder du?","What is your name?","Introductions","A1"
"Hvad interesserer du dig for?","What are you interested in?","Hobbies & Interests","A2"
"Hvad koster denne kjole?","How much is this dress?","Basic Shopping","A1"
"Hvad koster det?","How much does it cost?","Basic Shopping","A1"
"Hvad koster en billet til museet?","How much is a ticket to the museum?","Cultural Activities","A1"
"Hvad koster en kaffe?","How much is a coffee?","Restaurant/Café","A1"
"Hvad laver du her?","What are you doing here?","Introductions","A1"
"Hvad laver du i din fritid?","What do you do in your free time?","Small Talk","A1"
"Hvad laver du?","What are you doing?","Small Talk","A1"
"Hvad med at mødes til frokost på onsdag?","What about meeting for lunch on Wednesday?","Making Plans","A2"
"Hvad med at tage i parken i morgen?","What about going to the park tomorrow?","Making Plans","A2"
"Hvad mener du om den nye cykelsti i byen?","What do you think about the new bike path in town?","Current Events & News","B1"
"Hvad skal du lave i morgen?","What are you doing tomorrow?","Small Talk","A1"
"Hvad synes du om Danmark?","What do you think about Denmark?","Small Talk","A1"
"Hvad synes du om at lave mad?","What do you think about cooking?","Hobbies & Interests","A2"
"Hvad synes du om den nye film?","What do you think about the new movie?","Personal Opinions","A2"
"Hvad synes du om filmen?","What did you think of the film?","Cultural Activities","A2"
"Hvad ønsker du dig i gave?","What do you wish for as a gift?","Celebrations","A1"
"Hvem er ansvarlig for dette projekt?","Who is responsible for this project?","Work Environment","A2"
"Hvem er det?","Who is that?","Basic Communication","A1"
"Hvem er din lærer?","Who is your teacher?","Education","A2"
"Hvem er din yndlingskunstner?","Who is your favorite artist?","Cultural Activities","A2"
"Hvem skal du fejre nytår med?","Who will you celebrate New Year's with?","Social Life","A2"
"Hvem skal jeg kontakte angående min løn?","Who should I contact regarding my salary?","Work Environment","A2"
"Hvem skal jeg kontakte angående min vandregning?","Who should I contact regarding my water bill?","Services","A2"
"Hvem spiller hovedrollen?","Who plays the main role?","Cultural Activities","A1"
"Hvilken dag er det i dag?","What day is it today?","Numbers/Time","A1"
"Hvilken seværdighed anbefaler du i København?","Which attraction do you recommend in Copenhagen?","Travel Planning","A2"
"Hvilken?","Which one?","Basic Communication","A1"
"Hvilket spor går toget fra?","Which platform does the train leave from?","Transportation","A1"
"Hvilket sprog taler du?","Which language do you speak?","Basic Communication","A1"
"Hvis jeg var i din situation, ville jeg nok have handlet anderledes","If I were in your situation, I would probably have acted differently","Hypothetical Situations","B2"
"Hvis jeg vinder i lotteriet, vil jeg rejse jorden rundt","If I win the lottery, I will travel around the world","Future Plans & Aspirations","B1"
"Hvis klimaforandringerne fortsætter i samme tempo, vil konsekvenserne være alvorlige","If climate change continues at the same pace, the consequences will be serious","Hypothetical Situations","B2"
"Hvor bor du?","Where do you live?","Introductions","A1"
"Hvor er apoteket?","Where is the pharmacy?","Basic Health","A1"
"Hvor er busstoppestedet?","Where is the bus stop?","Transportation","A1"
"Hvor er den nærmeste bank?","Where is the nearest bank?","Simple Directions","A1"
"Hvor er den nærmeste bus?","Where is the nearest bus?","Transportation","A1"
"Hvor er den nærmeste hæveautomat?","Where is the nearest ATM?","Basic Shopping","A1"
"Hvor er den nærmeste politistation?","Where is the nearest police station?","Emergency","A1"
"Hvor er det?","Where is it?","Basic Communication","A1"
"Hvor er elevatoren?","Where is the elevator?","Accommodation","A1"
"Hvor er grøntsagsafdelingen?","Where is the vegetable department?","Basic Shopping","A1"
"Hvor er kassen?","Where is the cash register?","Basic Shopping","A1"
"Hvor er mejeriafdeling?","Where is the dairy section?","Basic Shopping","A1"
"Hvor er nærmeste supermarked?","Where is the nearest supermarket?","Basic Needs","A1"
"Hvor er nærmeste toilet?","Where is the nearest toilet?","Basic Needs","A1"
"Hvor er prøverummet?","Where is the fitting room?","Basic Shopping","A1"
"Hvor finder jeg det nærmeste posthus?","Where do I find the nearest post office?","Services","A2"
"Hvor gammel er din datter?","How old is your daughter?","Family","A1"
"Hvor gammel er dit barn?","How old is your child?","Family","A1"
"Hvor gammel er du?","How old are you?","Small Talk","A1"
"Hvor kan jeg betale min elregning?","Where can I pay my electricity bill?","Services","A2"
"Hvor kan jeg finde et apotek?","Where can I find a pharmacy?","Basic Needs","A1"
"Hvor kan jeg finde grøntsagerne?","Where can I find the vegetables?","Basic Shopping","A1"
"Hvor kan jeg finde information om offentlig transport?","Where can I find information about public transportation?","Services","A2"
"Hvor kan jeg hæve penge?","Where can I withdraw money?","Services","A2"
"Hvor kan jeg købe en billet?","Where can I buy a ticket?","Transportation","A1"
"Hvor kan jeg købe en paraply?","Where can I buy an umbrella?","Basic Needs","A1"
"Hvor kan jeg købe en togbillet?","Where can I buy a train ticket?","Transportation","A1"
"Hvor kan jeg købe frimærker?","Where can I buy stamps?","Basic Needs","A1"
"Hvor kan jeg leje en cykel?","Where can I rent a bicycle?","Transportation","A1"
"Hvor kan jeg printe?","Where can I print?","Technology Basics","A1"
"Hvor kan jeg vaske tøj?","Where can I wash clothes?","Basic Needs","A1"
"Hvor lang tid tager turen?","How long does the journey take?","Transportation","A1"
"Hvor langt er der til lufthavnen?","How far is it to the airport?","Transportation","A1"
"Hvor ligger posthuset?","Where is the post office?","Simple Directions","A1"
"Hvor ligger toilettet?","Where is the toilet located?","Restaurant/Café","A1"
"Hvor længe har du boet her?","How long have you lived here?","Introductions","A1"
"Hvor længe har du boet i Danmark?","How long have you lived in Denmark?","Introductions","A1"
"Hvor længe har du boet i din nuværende lejlighed?","How long have you lived in your current apartment?","Home & Housing","A2"
"Hvor længe skal du være her?","How long will you be here?","Small Talk","A1"
