"danishPhrase","englishTranslation","situationalContext","languageLevel"
"Hvor længe varer filmen?","How long is the movie?","Cultural Activities","A1"
"Hvor mange stop er der til centret?","How many stops to the center?","Transportation","A1"
"Hvor mange?","How many?","Basic Communication","A1"
"Hvor meget koster brødet?","How much does the bread cost?","Basic Shopping","A1"
"Hvor meget?","How much?","Basic Communication","A1"
"Hvor ofte besøger du din familie?","How often do you visit your family?","Family","A2"
"Hvor ofte går bussen?","How often does the bus run?","Transportation","A1"
"Hvor ofte går du i fitness?","How often do you go to the gym?","Hobbies & Interests","A2"
"Hvor ofte mødes du med dine venner?","How often do you meet with your friends?","Social Life","A2"
"Hvor ofte skal jeg tage denne medicin?","How often should I take this medication?","Health & Wellness","A2"
"Hvor skal jeg aflevere min ansøgning?","Where should I submit my application?","Bureaucracy & Administration","A2"
"Hvor skal jeg stå af?","Where should I get off?","Transportation","A1"
"Hvor skal vi mødes?","Where shall we meet?","Basic Communication","A1"
"Hvordan bestiller jeg tid hos lægen online?","How do I book an appointment with the doctor online?","Services","A2"
"Hvordan downloader jeg denne app?","How do I download this app?","Technology Basics","A2"
"Hvordan downloader jeg musik til min telefon?","How do I download music to my phone?","Technology Basics","A2"
"Hvordan er vejret i morgen?","How's the weather tomorrow?","Weather","A1"
"Hvordan er vejrudsigten?","What's the weather forecast?","Weather","A1"
"Hvordan får jeg en henvisning til en specialist?","How do I get a referral to a specialist?","Health & Wellness","A2"
"Hvordan går det med arbejdet?","How is work going?","Small Talk","A1"
"Hvordan har du det?","How are you doing?","Small Talk","A1"
"Hvordan håndterer du stress?","How do you handle stress?","Health & Wellness","B1"
"Hvordan kan jeg løse dette problem?","How can I solve this problem?","Simple Problem-Solving","A2"
"Hvordan kommer jeg til banegården?","How do I get to the train station?","Transportation","A1"
"Hvordan kommer man til stranden?","How do you get to the beach?","Simple Directions","A1"
"Hvordan opdaterer jeg operativsystemet?","How do I update the operating system?","Technology Basics","A2"
"Hvordan siger man... på dansk?","How do you say... in Danish?","Basic Communication","A1"
"Hvordan staver man det?","How do you spell that?","Basic Communication","A1"
"Hvordan tilslutter jeg min printer til computeren?","How do I connect my printer to the computer?","Technology Basics","A2"
"Hvordan tilslutter jeg min telefon til Wi-Fi?","How do I connect my phone to Wi-Fi?","Technology Basics","A2"
"Hvordan tænder jeg for fjernsynet?","How do I turn on the TV?","Technology Basics","A1"
"Hvordan udfylder jeg denne selvangivelse?","How do I fill out this tax return?","Bureaucracy & Administration","A2"
"Hvordan udtaler man det?","How do you pronounce that?","Basic Communication","A1"
"Hvordan uploader jeg billeder til hjemmesiden?","How do I upload pictures to the website?","Technology Basics","A2"
"Hvordan var din ferie i Spanien?","How was your vacation in Spain?","Past Experiences","A2"
"Hvordan var din weekend?","How was your weekend?","Small Talk","A1"
"Hvordan vil du betale?","How would you like to pay?","Restaurant/Café","A1"
"Hvorfor?","Why?","Basic Communication","A1"
"Hvornår afgår toget?","When does the train depart?","Transportation","A1"
"Hvornår ankommer flyet fra London?","When does the flight from London arrive?","Travel Planning","A2"
"Hvornår begynder semesteret?","When does the semester begin?","Education","A2"
"Hvornår begyndte du at lære dansk?","When did you start learning Danish?","Past Experiences","A2"
"Hvornår er check-ud?","When is check-out?","Accommodation","A1"
"Hvornår er den næste afhentning af affald?","When is the next garbage collection?","Services","A2"
"Hvornår er den næste forældresamtale?","When is the next parent-teacher conference?","Education","A2"
"Hvornår er der morgenmad?","When is breakfast?","Accommodation","A1"
"Hvornår er din frokostpause?","When is your lunch break?","Work Environment","A2"
"Hvornår er din fødselsdag?","When is your birthday?","Small Talk","A1"
"Hvornår får I nye varer?","When do you get new goods?","Basic Shopping","A1"
"Hvornår går toget til København?","When does the train to Copenhagen leave?","Transportation","A1"
"Hvornår går toget?","When does the train leave?","Transportation","A1"
"Hvornår har du fødselsdag?","When is your birthday?","Introductions","A1"
"Hvornår kommer bussen?","When does the bus arrive?","Transportation","A1"
"Hvornår lukker butikken?","When does the store close?","Basic Shopping","A1"
"Hvornår passer det dig bedst at mødes?","When is it most convenient for you to meet?","Making Plans","A2"
"Hvornår starter festen?","When does the party start?","Celebrations","A1"
"Hvornår starter udsalget?","When does the sale start?","Shopping Specifics","A2"
"Hvornår åbner banken om mandagen?","When does the bank open on Mondays?","Services","A2"
"Hvornår åbner borgerservice?","When does the citizen service center open?","Bureaucracy & Administration","A2"
"Hvornår åbner butikken?","When does the store open?","Basic Shopping","A1"
"Hvornår åbner museet?","When does the museum open?","Cultural Activities","A1"
"Hvornår åbner posthuset?","When does the post office open?","Services","A2"
"Hvornår?","When?","Basic Communication","A1"
"Hyggeligt at møde dig","Nice to meet you","Introductions","A1"
"I Danmark er 'hygge' mere end bare et ord – det er en grundlæggende del af kulturen","In Denmark, 'hygge' is more than just a word – it's a fundamental part of the culture","Cultural Insights & Customs","B2"
"I Danmark er det almindeligt at cykle til arbejde","In Denmark, it's common to bike to work","Cultural Nuances","B1"
"I Danmark er det almindeligt at tiltale alle, inklusive chefer og professorer, ved fornavn","In Denmark, it's common to address everyone, including bosses and professors, by their first name","Cultural Insights & Customs","B2"
"I Danmark er det normalt at tage skoene af, når man besøger nogen","In Denmark, it's normal to take off your shoes when visiting someone","Cultural Nuances","B1"
"I aften","This evening","Numbers/Time","A1"
"I eftermiddag","This afternoon","Numbers/Time","A1"
"I folkeskolen lærer eleverne ikke kun faglig viden, men også sociale kompetencer","In primary school, students learn not only academic knowledge but also social skills","Educational Topics","B1"
"I går","Yesterday","Numbers/Time","A1"
"I går tog jeg til stranden med mine venner","Yesterday I went to the beach with my friends","Past Experiences","A2"
"I min fritid spiller jeg tennis","In my free time I play tennis","Hobbies & Interests","A2"
"I morgen","Tomorrow","Numbers/Time","A1"
"I morgen aften","Tomorrow evening","Numbers/Time","A1"
"I morgen tidlig","Tomorrow morning","Numbers/Time","A1"
"I nat","Tonight","Numbers/Time","A1"
"I næste måned","Next month","Numbers/Time","A1"
"I næste uge","Next week","Numbers/Time","A1"
"I sidste uge","Last week","Numbers/Time","A1"
"I sidste weekend besøgte jeg mine bedsteforældre","Last weekend I visited my grandparents","Past Experiences","A2"
"I weekenden","On the weekend","Numbers/Time","A1"
"Ingen problem","No problem","Courtesy Phrases","A1"
"Ingen årsag","You're welcome (no reason)","Courtesy Phrases","A1"
"Integrationspolitikken har været et omdiskuteret emne i valgkampen","Integration policy has been a controversial topic in the election campaign","Social Issues & Politics","B2"
"Ja tak","Yes please","Basic Communication","A1"
"Janteloven har historisk haft stor indflydelse på den danske mentalitet","The Law of Jante has historically had a great influence on the Danish mentality","Danish Cultural References","B2"
"Januar, februar, marts","January, February, March","Numbers/Time","A1"
"Januar, februar, marts, april","January, February, March, April","Numbers/Time","A1"
"Jeg arbejder i en butik","I work in a store","Work Environment","A2"
"Jeg arbejder ofte hjemmefra om fredagen","I often work from home on Fridays","Work Environment","A2"
"Jeg arbejder på at forbedre min udtale, så danskerne bedre kan forstå mig","I'm working on improving my pronunciation so Danes can understand me better","Personal Development","B1"
"Jeg arbejder på et vigtigt projekt i øjeblikket","I am working on an important project at the moment","Work Environment","A2"
"Jeg arbejder som kok","I work as a cook","Small Talk","A1"
"Jeg begyndte at strikke for et år siden","I started knitting a year ago","Hobbies & Interests","A2"
"Jeg besøgte mine bedsteforældre hver sommer","I visited my grandparents every summer","Past Experiences","A2"
"Jeg betaler kontant","I'll pay in cash","Basic Shopping","A1"
"Jeg betaler med kort","I'll pay with card","Basic Shopping","A1"
"Jeg boede i Sverige i tre år","I lived in Sweden for three years","Past Experiences","A2"
"Jeg bor alene","I live alone","Small Talk","A1"
"Jeg bor i Aarhus","I live in Aarhus","Basic Information","A1"
"Jeg bor i Danmark","I live in Denmark","Basic Communication","A1"
"Jeg bor i et hus med en lille have","I live in a house with a small garden","Home & Housing","A2"
"Jeg bor sammen med to venner","I live with two friends","Small Talk","A1"
"Jeg elsker at lave mad i weekenden","I love cooking on the weekend","Hobbies & Interests","A2"
"Jeg er 30 år gammel","I am 30 years old","Small Talk","A1"
"Jeg er allergisk over for nødder","I am allergic to nuts","Restaurant/Café","A1"
"Jeg er allergisk over for penicillin","I am allergic to penicillin","Basic Health","A1"
"Jeg er allergisk over for pollen","I am allergic to pollen","Basic Health","A1"
"Jeg er begynder","I am a beginner","Basic Communication","A1"
"Jeg er begyndt at interessere mig for fotografering","I have started to become interested in photography","Hobbies & Interests","A2"
"Jeg er enig","I agree","Basic Communication","A1"
"Jeg er enig i, at vi skal beskytte miljøet","I agree that we should protect the environment","Personal Opinions","A2"
"Jeg er faret vild","I am lost","Simple Directions","A1"
"Jeg er femogtyve år gammel","I am twenty-five years old","Introductions","A1"
"Jeg er færdig","I am finished","Basic Communication","A1"
"Jeg er gift","I am married","Family","A1"
"Jeg er glad for at møde dig","I am happy to meet you","Introductions","A1"
"Jeg er glad i dag","I am happy today","Small Talk","A1"
"Jeg er gravid","I am pregnant","Basic Health","A1"
"Jeg er her","I am here","Basic Communication","A1"
"Jeg er her for at besøge familie","I am here to visit family","Introductions","A1"
"Jeg er her for at lære dansk","I am here to learn Danish","Introductions","A1"
"Jeg er her i to uger","I am here for two weeks","Basic Communication","A1"
"Jeg er her på arbejde","I am here for work","Basic Communication","A1"
"Jeg er her på forretningsrejse","I am here on a business trip","Introductions","A1"
"Jeg er ikke enig","I disagree","Basic Communication","A1"
"Jeg er ikke enig i din pointe om klimaforandringer","I don't agree with your point about climate change","Debates & Opinions","B1"
"Jeg er ikke glad for koldt vejr","I'm not fond of cold weather","Personal Opinions","A2"
"Jeg er ikke sikker","I am not sure","Basic Communication","A1"
"Jeg er ikke sikker på, at det er en god idé","I'm not sure that it's a good idea","Personal Opinions","A2"
"Jeg er ked af det","I am sorry","Courtesy Phrases","A1"
"Jeg er klar","I am ready","Basic Communication","A1"
"Jeg er kold","I am cold","Basic Needs","A1"
"Jeg er lidt ked af det","I am a bit sad","Small Talk","A1"
"Jeg er lærer","I am a teacher","Basic Information","A1"
"Jeg er medlem af den lokale sportsklub","I am a member of the local sports club","Local Community","A2"
"Jeg er meget begejstret for din idé","I am very excited about your idea","Emotions & Feelings","A2"
"Jeg er nervøs for min eksamen i morgen","I am nervous about my exam tomorrow","Emotions & Feelings","A2"
"Jeg er ny i byen","I am new in town","Small Talk","A1"
"Jeg er optaget på fredag, men lørdag passer fint","I'm busy on Friday, but Saturday works well","Making Plans","A2"
"Jeg er på ferie","I am on vacation","Basic Communication","A1"
"Jeg er på vej","I'm on my way","Basic Communication","A1"
"Jeg er single","I am single","Small Talk","A1"
"Jeg er skuffet over resultatet","I am disappointed with the result","Emotions & Feelings","A2"
"Jeg er stolt af, hvad vi har opnået","I am proud of what we have achieved","Emotions & Feelings","A2"
"Jeg er sulten","I am hungry","Basic Needs","A1"
"Jeg er så glad for, at du kunne komme","I am so happy that you could come","Emotions & Feelings","A2"
"Jeg er så træt efter en lang arbejdsdag","I am so tired after a long workday","Emotions & Feelings","A2"
"Jeg er træt","I am tired","Basic Needs","A1"
"Jeg er turist","I am a tourist","Introductions","A1"
"Jeg er tørstig","I am thirsty","Basic Needs","A1"
"Jeg er udvekslingsstudent","I am an exchange student","Introductions","A1"
"Jeg er uenig i din konklusion af flere grunde","I disagree with your conclusion for several reasons","Debates & Opinions","B1"
"Jeg er varm","I am hot","Basic Needs","A1"
"Jeg er vegetar","I am a vegetarian","Restaurant/Café","A1"
"Jeg er virkelig skuffet over resultatet","I am really disappointed with the result","Emotions & Feelings","A2"
"Jeg foretrækker at cykle i stedet for at tage bussen","I prefer cycling instead of taking the bus","Personal Opinions","A2"
"Jeg foretrækker at cykle til arbejde, når vejret er godt","I prefer to cycle to work when the weather is good","Transportation","A2"
"Jeg foretrækker at læse bogen, før jeg ser filmen","I prefer to read the book before I watch the movie","Hobbies & Interests","A2"
"Jeg forstår det ikke","I don't understand it","Basic Communication","A1"
"Jeg forstår ikke","I don't understand","Basic Communication","A1"
"Jeg forstår lidt dansk","I understand a little Danish","Basic Communication","A1"
"Jeg forsøger at spise sundere og dyrke mere motion","I'm trying to eat healthier and exercise more","Health & Wellness","B1"
"Jeg føler mig lidt stresset i øjeblikket","I feel a bit stressed at the moment","Emotions & Feelings","A2"
"Jeg føler mig overvældet af alle de opgaver, jeg skal nå inden fredag","I feel overwhelmed by all the tasks I need to complete by Friday","Emotions & Relationships","B1"
"Jeg føler mig splittet mellem karriereambitioner og ønsket om mere tid med familien","I feel torn between career ambitions and the desire for more time with family","Complex Emotional Expression","B2"
"Jeg føler mig stresset over deadlinen i morgen","I feel stressed about tomorrow's deadline","Emotions & Relationships","B1"
"Jeg føler mig svimmel","I feel dizzy","Basic Health","A1"
"Jeg føler mig utilpas","I feel unwell","Basic Health","A1"
"Jeg gik i skole med ham for mange år siden","I went to school with him many years ago","Past Experiences","A2"
"Jeg glæder mig til weekenden","I'm looking forward to the weekend","Emotions & Feelings","A2"
"Jeg går på sprogskole","I go to language school","Basic Communication","A1"
"Jeg går til danskundervisning to gange om ugen","I go to Danish lessons twice a week","Education","A2"
"Jeg går til svømning to gange om ugen","I go swimming twice a week","Hobbies & Interests","A2"
"Jeg går til yoga hver tirsdag","I go to yoga every Tuesday","Health & Wellness","A2"
"Jeg har aftalt tid hos lægen, fordi jeg har haft migræne i flere uger","I've made an appointment with the doctor because I've had migraines for several weeks","Health & Wellness","B1"
"Jeg har aldrig prøvet at stå på ski før","I have never tried skiing before","Past Experiences","A2"
"Jeg har aldrig været i Sverige før","I have never been to Sweden before","Past Experiences","A2"
"Jeg har allerede planer for næste weekend","I already have plans for next weekend","Making Plans","A2"
"Jeg har arbejdet her i to år nu","I have worked here for two years now","Work Environment","A2"
"Jeg har begyndt at løbe hver morgen","I have started running every morning","Hobbies & Interests","A2"
"Jeg har bestilt tid hos tandlægen i næste uge","I have booked an appointment with the dentist next week","Health & Wellness","A2"
"Jeg har boet her i to år","I have lived here for two years","Introductions","A1"
"Jeg har boet her i tre måneder","I have lived here for three months","Introductions","A1"
"Jeg har boet i Danmark i næsten to år nu","I have lived in Denmark for almost two years now","Past Experiences","A2"
"Jeg har booket flybilletter til næste måned","I have booked flight tickets for next month","Travel Planning","A2"
"Jeg har brug for at forny mit pas","I need to renew my passport","Services","A2"
"Jeg har brug for at hvile mig","I need to rest","Basic Health","A1"
"Jeg har brug for at sikkerhedskopiere mine filer","I need to back up my files","Technology Basics","A2"
"Jeg har brug for at tage en fridag i næste uge","I need to take a day off next week","Work Environment","A2"
"Jeg har brug for at ændre min adresse hos banken","I need to change my address with the bank","Services","A2"
"Jeg har brug for en læge","I need a doctor","Emergency","A1"
"Jeg har brug for en recept","I need a prescription","Basic Health","A1"
"Jeg har brug for en tolk","I need an interpreter","Emergency","A1"
"Jeg har brug for et plaster","I need a bandage","Basic Health","A1"
"Jeg har brug for hjælp","I need help","Emergency","A1"
"Jeg har brug for hjælp med min bagage","I need help with my luggage","Simple Problem-Solving","A2"
"Jeg har brug for medicin","I need medicine","Basic Health","A1"
"Jeg har brug for nye batterier","I need new batteries","Basic Needs","A1"
"Jeg har brug for politiet","I need the police","Emergency","A1"
"Jeg har brug for smertestillende medicin","I need pain medication","Basic Health","A1"
"Jeg har brug for solcreme","I need sunscreen","Basic Needs","A1"
"Jeg har brug for vand","I need water","Basic Needs","A1"
"Jeg har desværre misforstået instruktionerne","Unfortunately, I misunderstood the instructions","Work Environment","A2"
"Jeg har det dårligt","I feel bad","Basic Needs","A1"
"Jeg har det fint, tak","I'm fine, thank you","Small Talk","A1"
"Jeg har det godt","I feel good","Basic Needs","A1"
"Jeg har det ikke så godt","I'm not feeling well","Basic Health","A1"
"Jeg har eksamen næste uge","I have an exam next week","Education","A2"
"Jeg har en datter","I have a daughter","Family","A1"
"Jeg har en deadline på fredag","I have a deadline on Friday","Work Environment","A2"
"Jeg har en hund og en kat","I have a dog and a cat","Family","A1"
"Jeg har en hund, der hedder Fido","I have a dog named Fido","Home & Housing","A2"
"Jeg har en kæreste","I have a boyfriend/girlfriend","Small Talk","A1"
"Jeg har en reservation","I have a reservation","Accommodation","A1"
"Jeg har en søster og en bror","I have a sister and a brother","Family","A1"
"Jeg har et møde med min chef om min præstation","I have a meeting with my boss about my performance","Work Environment","A2"
"Jeg har et sår","I have a wound","Basic Health","A1"
"Jeg har feber","I have a fever","Basic Health","A1"
"Jeg har fået en parkeringsbøde","I have received a parking ticket","Bureaucracy & Administration","A2"
"Jeg har glemt at bestille en forsikring til rejsen","I have forgotten to book insurance for the trip","Travel Planning","A2"
"Jeg har glemt min paraply","I have forgotten my umbrella","Basic Needs","A1"
"Jeg har glemt min pung derhjemme","I've forgotten my wallet at home","Basic Needs","A1"
"Jeg har glemt mit password","I have forgotten my password","Technology Basics","A1"
"Jeg har glemt ordet","I have forgotten the word","Basic Communication","A1"
"Jeg har hoste","I have a cough","Basic Health","A1"
"Jeg har hovedpine","I have a headache","Basic Health","A1"
"Jeg har ikke internetforbindelse","I don't have internet connection","Basic Communication","A1"
"Jeg har inviteret nogle venner til middag på fredag","I have invited some friends for dinner on Friday","Making Plans","A2"
"Jeg har købt billetter til teatret","I have bought tickets for the theater","Cultural Activities","A2"
"Jeg har købt en månedsbillet til toget","I have bought a monthly ticket for the train","Transportation","A2"
"Jeg har lige købt nye møbler til stuen","I have just bought new furniture for the living room","Home & Housing","A2"
"Jeg har lært meget dansk i det sidste år","I have learned a lot of Danish in the last year","Past Experiences","A2"
"Jeg har meldt mig til et dansekursus","I have signed up for a dance course","Hobbies & Interests","A2"
"Jeg har meldt mig til et madlavningskursus","I have signed up for a cooking course","Hobbies & Interests","A2"
"Jeg har mistet min nøgle. Hvad skal jeg gøre?","I've lost my key. What should I do?","Simple Problem-Solving","A2"
"Jeg har mistet min pung","I have lost my wallet","Emergency","A1"
"Jeg har mistet mit pas","I have lost my passport","Emergency","A1"
"Jeg har modtaget en regning fra kommunen","I have received a bill from the municipality","Bureaucracy & Administration","A2"
"Jeg har ondt i halsen","I have a sore throat","Basic Health","A1"
"Jeg har ondt i hovedet","I have a headache","Basic Health","A1"
"Jeg har ondt i maven","I have a stomachache","Basic Health","A1"
"Jeg har ondt i ryggen","I have a backache","Basic Health","A1"
"Jeg har ondt i ryggen efter at have løftet tunge kasser","I have a backache after lifting heavy boxes","Health & Wellness","A2"
"Jeg har problemer med at logge ind på min e-mail","I'm having problems logging into my email","Technology Basics","A2"
"Jeg har problemer med at sove","I have problems sleeping","Basic Health","A1"
"Jeg har problemer med at sove om natten","I have problems sleeping at night","Health & Wellness","A2"
"Jeg har problemer med mit rejsekort","I have problems with my travel card","Travel Planning","A2"
"Jeg har reserveret et værelse","I have reserved a room","Accommodation","A1"
"Jeg har spillet guitar i fem år","I have played guitar for five years","Hobbies & Interests","A2"
"Jeg har spillet klaver, siden jeg var barn","I've been playing piano since I was a child","Hobbies & Interests","A2"
"Jeg har tandpine","I have a toothache","Basic Health","A1"
"Jeg har tilmeldt mig et kursus i markedsføring","I have enrolled in a marketing course","Education","A2"
"Jeg har to børn","I have two children","Family","A1"
"Jeg har været i København to gange","I have been to Copenhagen twice","Past Experiences","A2"
"Jeg har været i gang med dette projekt i to uger","I have been working on this project for two weeks","Work Environment","A2"
"Jeg havde en dejlig weekend med familien","I had a lovely weekend with the family","Past Experiences","A2"
"Jeg hedder Anders","My name is Anders","Introductions","A1"
"Jeg hedder Lars","My name is Lars","Introductions","A1"
"Jeg hedder Maria. Hvad hedder du?","My name is Maria. What's your name?","Introductions","A1"
"Jeg håber, at sommeren bliver varmere end sidste år","I hope summer will be warmer than last year","Weather","A2"
"Jeg håber, vi ses igen","I hope we see each other again","Introductions","A1"
"Jeg kan desværre ikke komme til festen","Unfortunately, I cannot come to the party","Making Plans","A2"
"Jeg kan godt lide at gå lange ture i skoven","I like taking long walks in the forest","Hobbies & Interests","A2"
"Jeg kan godt lide at læse bøger om historie","I like reading books about history","Hobbies & Interests","A2"
"Jeg kan godt lide det","I like it","Basic Communication","A1"
"Jeg kan godt lide moderne kunst","I like modern art","Personal Opinions","A2"
"Jeg kan godt lide musik","I like music","Small Talk","A1"
"Jeg kan ikke finde filen på computeren","I cannot find the file on the computer","Work Environment","A2"
"Jeg kan ikke finde vej tilbage til hotellet","I can't find my way back to the hotel","Simple Problem-Solving","A2"
"Jeg kan ikke høre dig","I can't hear you","Phone Communication","A1"
"Jeg kan ikke lide det","I don't like it","Basic Communication","A1"
"Jeg kan ikke lide kaffe","I don't like coffee","Small Talk","A1"
"Jeg kan ikke logge ind","I can't log in","Technology Basics","A1"
"Jeg kan ikke spise... (gluten/laktose)","I cannot eat... (gluten/lactose)","Restaurant/Café","A1"
"Jeg kan lide dansk mad","I like Danish food","Small Talk","A1"
"Jeg kan lide din trøje","I like your sweater","Small Talk","A1"
"Jeg kommer for første gang til Danmark","I am coming to Denmark for the first time","Small Talk","A1"
"Jeg kommer fra Canada. Hvor kommer du fra?","I'm from Canada. Where are you from?","Introductions","A1"
"Jeg kommer fra Danmark","I come from Denmark","Introductions","A1"
"Jeg kommer fra Tyskland","I come from Germany","Basic Communication","A1"
"Jeg kommer om fem minutter","I'll be there in five minutes","Basic Communication","A1"
"Jeg kommer snart","I'm coming soon","Basic Communication","A1"
"Jeg kæmper med at finde en balance mellem professionel distance og personligt engagement i mit arbejde","I struggle to find a balance between professional distance and personal engagement in my work","Complex Emotional Expression","B2"
"Jeg leder efter en gave til min far","I'm looking for a gift for my father","Shopping Specifics","A2"
"Jeg leder efter en gave til min mor","I'm looking for a gift for my mother","Shopping Specifics","A2"
"Jeg leder efter en ny lejlighed tættere på mit arbejde","I'm looking for a new apartment closer to my work","Home & Housing","A2"
"Jeg leder efter mælk","I'm looking for milk","Basic Shopping","A1"
"Jeg leder efter toiletpapir","I'm looking for toilet paper","Basic Shopping","A1"
"Jeg lærer dansk","I'm learning Danish","Basic Communication","A1"
"Jeg lærte at svømme, da jeg var seks år","I learned to swim when I was six years old","Past Experiences","A2"
"Jeg læser gerne krimier før jeg går i seng","I like to read crime novels before I go to bed","Hobbies & Interests","A2"
"Jeg læser til min eksamen i næste uge","I'm studying for my exam next week","Education","A2"
"Jeg mener, at uddannelse burde være tilgængelig for alle","I believe education should be accessible to everyone","Personal Opinions","A2"
"Jeg nyder at gå lange ture i skoven","I enjoy taking long walks in the forest","Hobbies & Interests","A2"
"Jeg planlægger en rejse til Norge","I'm planning a trip to Norway","Travel Planning","A2"
"Jeg prøver at forbedre min evne til at tale offentligt","I'm trying to improve my ability to speak in public","Personal Development","B1"
"Jeg rejser i morgen","I'm traveling tomorrow","Basic Communication","A1"
"Jeg rejste til Italien sidste sommer","I traveled to Italy last summer","Past Experiences","A2"
"Jeg ringer til dig for at bekræfte senere","I'll call you to confirm later","Making Plans","A2"
"Jeg ringer til dig senere","I'll call you later","Courtesy Phrases","A1"
"Jeg samler på frimærker","I collect stamps","Hobbies & Interests","A2"
"Jeg savner at bo tæt på havet","I miss living close to the sea","Emotions & Feelings","A2"
"Jeg savner dig","I miss you","Greetings","A1"
"Jeg savner min familie","I miss my family","Family","A1"
"Jeg ser en tv-serie for tiden","I'm watching a TV series at the moment","Hobbies & Interests","A2"
"Jeg skal af ved næste stop","I need to get off at the next stop","Transportation","A1"
"Jeg skal aflevere min opgave senest på fredag","I need to submit my assignment by Friday at the latest","Education","A2"
"Jeg skal bruge en adapter","I need an adapter","Basic Needs","A1"
"Jeg skal bruge en ny printer","I need a new printer","Technology Basics","A2"
"Jeg skal bruge en tandbørste","I need a toothbrush","Basic Needs","A1"
"Jeg skal flytte til en større lejlighed","I'm going to move to a bigger apartment","Home & Housing","A2"
"Jeg skal forberede en præsentation til næste uge","I need to prepare a presentation for next week","Work Environment","A2"
"Jeg skal forny mit kørekort","I need to renew my driver's license","Services","A2"
"Jeg skal have udskiftet mit pas inden rejsen","I need to get my passport replaced before the trip","Bureaucracy & Administration","A2"
"Jeg skal melde flytning til kommunen","I need to register my move with the municipality","Services","A2"
"Jeg skal møde klokken otte","I have to meet at eight o'clock","Numbers/Time","A1"
"Jeg skal nok være der til tiden","I will be there on time","Courtesy Phrases","A1"
"Jeg skal sende denne pakke til Sverige","I need to send this package to Sweden","Services","A2"
"Jeg skal sende denne pakke til udlandet","I need to send this package abroad","Services","A2"
"Jeg skal til bryllup i næste måned","I am going to a wedding next month","Social Life","A2"
"Jeg skal til centrum","I need to go to the center","Transportation","A1"
"Jeg skal til eksamen i næste uge","I have an exam next week","Education","A2"
"Jeg skal til jobsamtale på torsdag","I have a job interview on Thursday","Work Environment","A2"
"Jeg skal til lufthavnen","I need to go to the airport","Transportation","A1"
"Jeg skal til lægen i morgen","I'm going to the doctor tomorrow","Basic Health","A1"
"Jeg spiller fodbold","I play football","Small Talk","A1"
"Jeg studerer dansk","I study Danish","Introductions","A1"
"Jeg studerer dansk på sprogskolen","I study Danish at the language school","Education","A2"
"Jeg studerer økonomi på universitetet","I study economics at the university","Education","A2"
"Jeg synes, at danske film er rigtig gode","I think Danish films are really good","Personal Opinions","A2"
"Jeg synes, at denne forfatter skriver virkelig godt","I think this author writes really well","Cultural Activities","A2"
"Jeg synes, at denne restaurant er bedre","I think this restaurant is better","Personal Opinions","A2"
"Jeg synes, at offentlig transport burde være gratis","I think public transportation should be free","Personal Opinions","A2"
"Jeg synes, det er vigtigt at have en god balance mellem arbejde og fritid","I think it's important to have a good balance between work and leisure","Personal Development","B1"
"Jeg synes, filmen var bedre end bogen","I think the movie was better than the book","Cultural Activities","A2"
"Jeg så en rigtig god film i går aftes","I watched a really good movie last night","Past Experiences","A2"
"Jeg tager denne","I'll take this one","Basic Shopping","A1"
"Jeg tager kagen med til festen","I'll bring the cake to the party","Making Plans","A2"
"Jeg tager medicin hver morgen","I take medicine every morning","Basic Health","A1"
"Jeg taler engelsk","I speak English","Basic Communication","A1"
"Jeg taler engelsk og lidt dansk","I speak English and a little Danish","Introductions","A1"
"Jeg taler kun lidt dansk","I only speak a little Danish","Basic Communication","A1"
"Jeg taler lidt dansk","I speak a little Danish","Basic Communication","A1"
"Jeg tror, at jeg har fået en parkeringsbøde","I think I got a parking ticket","Simple Problem-Solving","A2"
"Jeg tror, at klimaforandringer er et alvorligt problem","I think climate change is a serious problem","Personal Opinions","A2"
"Jeg tror, at kunstig intelligens vil ændre måden, vi arbejder på","I believe artificial intelligence will change the way we work","Abstract Discussions","B1"
